,col1,col2,col3,col4,date_of_birth
821,821,318,324,821,1917-03-10
822,822,60,411,822,1922-06-11
823,823,319,78,823,1969-03-07
824,824,98,442,824,1946-04-03
825,825,320,443,825,1942-07-11
826,826,68,212,826,1999-12-18
827,827,100,444,827,1939-07-12
828,828,286,123,828,2022-04-14
829,829,321,64,829,2014-06-11
830,830,322,344,830,1951-06-19
831,831,0,82,831,2006-11-02
832,832,83,402,832,1942-02-24
833,833,254,249,833,2018-11-29
834,834,24,445,834,1985-05-15
835,835,39,220,835,1960-11-17
836,836,132,11,836,1958-09-12
837,837,323,306,837,1924-10-21
838,838,270,446,838,1913-05-23
839,839,215,77,839,1920-06-16
840,840,71,447,840,2008-09-25
841,841,124,390,841,1954-05-26
842,842,324,393,842,1945-06-13
843,843,12,77,843,1917-03-22
844,844,275,406,844,1960-06-21
845,845,17,296,845,1967-11-24
846,846,325,51,846,1941-08-14
847,847,155,448,847,1942-02-01
848,848,129,317,848,1984-11-26
849,849,224,449,849,1985-04-18
850,850,132,32,850,1917-06-06
851,851,326,163,851,1950-08-24
852,852,90,450,852,1909-12-01
853,853,94,299,853,1927-03-30
854,854,302,40,854,1923-04-29
855,855,91,125,855,1937-10-06
856,856,33,451,856,1914-02-18
857,857,214,7,857,1987-01-28
858,858,260,104,858,1923-03-31
859,859,36,452,859,1924-11-24
860,860,133,20,860,1969-08-31
861,861,214,453,861,1987-09-17
862,862,187,122,862,1918-02-11
863,863,97,64,863,2000-11-20
864,864,327,168,864,1980-11-20
865,865,33,454,865,2003-09-06
866,866,32,110,866,1976-06-04
867,867,54,455,867,2003-01-10
868,868,13,71,868,2005-10-20
869,869,291,456,869,1948-02-29
870,870,207,34,870,1936-05-18
871,871,196,62,871,1931-01-25
872,872,328,457,872,1916-03-22
873,873,213,329,873,1950-10-11
874,874,72,458,874,1982-12-02
875,875,103,459,875,1990-10-17
876,876,69,444,876,1931-11-05
877,877,72,162,877,1985-03-02
878,878,166,460,878,1946-06-09
879,879,329,104,879,1932-10-30
880,880,330,220,880,1982-02-05
881,881,331,46,881,2003-02-28
882,882,25,207,882,1982-12-14
883,883,82,122,883,2017-06-02
884,884,60,135,884,2002-06-05
885,885,16,461,885,1964-10-22
886,886,83,462,886,1973-02-16
887,887,90,463,887,1921-09-29
888,888,284,244,888,1991-10-26
889,889,160,6,889,1914-05-13
890,890,268,464,890,2001-02-24
891,891,7,465,891,1963-12-02
892,892,314,466,892,2012-03-21
893,893,163,4,893,1957-10-12
894,894,42,23,894,1938-04-27
895,895,120,377,895,1994-01-10
896,896,332,25,896,1993-09-23
897,897,333,467,897,1914-03-10
898,898,164,171,898,1912-02-11
899,899,33,395,899,1974-02-21
900,900,75,468,900,1998-04-12
901,901,18,32,901,1974-10-12
902,902,244,469,902,1960-03-05
903,903,112,71,903,2000-05-23
904,904,125,326,904,1958-02-10
905,905,149,223,905,1961-02-01
906,906,135,470,906,2002-10-26
907,907,334,471,907,2007-10-09
908,908,97,129,908,1912-04-25
909,909,258,472,909,2012-07-21
910,910,46,92,910,1993-06-13
911,911,72,223,911,1988-03-18
912,912,13,15,912,2015-07-27
913,913,15,213,913,2001-05-21
914,914,63,163,914,1934-02-23
915,915,250,318,915,2023-02-26
916,916,7,473,916,1961-11-23
917,917,204,474,917,1915-11-24
918,918,91,244,918,1999-12-08
919,919,52,475,919,1945-03-07
920,920,91,161,920,1909-04-06
921,921,335,51,921,2019-04-10
922,922,57,19,922,1960-01-08
923,923,33,28,923,1986-07-20
924,924,202,28,924,1915-09-05
925,925,336,476,925,1935-11-01
926,926,272,64,926,1923-04-28
927,927,41,125,927,1975-05-13
928,928,15,125,928,2014-12-22
929,929,236,83,929,1933-01-11
930,930,337,37,930,1915-05-19
931,931,8,130,931,1999-11-18
932,932,304,477,932,2018-01-07
933,933,13,478,933,2015-04-05
934,934,36,479,934,1998-09-14
935,935,207,480,935,1986-12-26
936,936,104,462,936,1983-08-30
937,937,236,168,937,1980-04-19
938,938,83,481,938,1918-07-19
939,939,338,339,939,1929-08-16
940,940,34,482,940,1976-11-20
941,941,44,483,941,1999-04-08
942,942,60,484,942,1990-02-04
943,943,339,485,943,1972-07-03
944,944,55,120,944,1981-08-17
945,945,7,426,945,1920-06-04
946,946,340,486,946,1993-07-31
947,947,341,64,947,1923-10-31
948,948,65,265,948,2005-04-23
949,949,122,120,949,2013-12-22
950,950,342,264,950,1971-07-31
951,951,135,341,951,1968-06-12
952,952,235,487,952,1994-02-28
953,953,34,247,953,1971-04-12
954,954,111,225,954,1910-10-03
955,955,95,4,955,1914-01-11
956,956,23,413,956,1958-11-27
957,957,343,488,957,1931-03-21
958,958,101,18,958,2006-09-30
959,959,13,434,959,1997-05-28
960,960,344,28,960,1955-11-06
961,961,112,380,961,1993-11-19
962,962,345,489,962,2015-11-14
963,963,346,73,963,1993-09-04
964,964,38,106,964,2012-03-22
965,965,46,490,965,1980-12-27
966,966,185,491,966,1980-04-24
967,967,347,492,967,1927-12-11
968,968,2,493,968,1939-10-25
969,969,17,494,969,1920-10-17
970,970,144,495,970,1961-02-21
971,971,58,107,971,2002-05-21
972,972,32,192,972,1987-03-01
973,973,282,180,973,1911-12-27
974,974,348,496,974,1957-02-02
975,975,93,159,975,2018-03-26
976,976,7,125,976,2002-11-13
977,977,349,205,977,1957-03-06
978,978,298,497,978,1975-09-06
979,979,190,498,979,2022-05-12
980,980,75,499,980,2011-07-08
981,981,165,500,981,1935-08-04
982,982,255,40,982,1938-02-22
983,983,350,64,983,2024-07-12
984,984,8,409,984,1965-11-04
985,985,150,501,985,1949-12-21
986,986,36,448,986,1997-07-03
987,987,287,389,987,1971-09-05
988,988,200,502,988,1933-06-14
989,989,344,79,989,2002-02-26
990,990,79,503,990,1922-11-11
991,991,194,504,991,1983-06-11
992,992,248,505,992,2014-10-05
993,993,42,506,993,2007-11-11
994,994,45,115,994,2010-07-18
995,995,45,507,995,1975-10-15
996,996,13,194,996,1999-01-31
997,997,49,135,997,2011-01-15
998,998,110,28,998,2017-01-27
999,999,1,469,999,1987-03-27
1000,1000,94,242,1000,2012-01-17
1001,1001,9,366,1001,2002-05-20
1002,1002,13,89,1002,2010-12-29
1003,1003,8,357,1003,1992-07-16
1004,1004,351,282,1004,1935-12-20
1005,1005,239,412,1005,1982-08-30
1006,1006,25,91,1006,2020-07-27
1007,1007,23,508,1007,1974-11-30
1008,1008,11,312,1008,1952-01-20
1009,1009,8,509,1009,1956-06-27
1010,1010,45,510,1010,1986-03-01
1011,1011,350,511,1011,1947-02-19
1012,1012,176,512,1012,1923-10-06
1013,1013,278,202,1013,1980-03-02
1014,1014,210,513,1014,1936-10-23
1015,1015,24,64,1015,1979-08-25
1016,1016,125,514,1016,1932-04-11
1017,1017,207,173,1017,2021-01-16
1018,1018,68,168,1018,1910-07-30
1019,1019,24,468,1019,1909-03-22
1020,1020,84,515,1020,2015-01-28
1021,1021,348,516,1021,1943-02-23
1022,1022,72,272,1022,1991-09-22
1023,1023,69,133,1023,1953-04-18
1024,1024,73,366,1024,1948-10-25
1025,1025,46,231,1025,2002-10-10
1026,1026,8,78,1026,1941-10-02
1027,1027,162,401,1027,2012-10-26
1028,1028,9,259,1028,1991-03-04
1029,1029,84,302,1029,1956-08-16
1030,1030,352,517,1030,1940-09-22
1031,1031,284,518,1031,1938-03-28
1032,1032,353,82,1032,2019-01-04
1033,1033,224,290,1033,1980-08-28
1034,1034,11,519,1034,1980-12-22
1035,1035,354,178,1035,1914-05-19
1036,1036,331,196,1036,1922-10-03
1037,1037,355,51,1037,1999-09-01
1038,1038,45,213,1038,1922-07-01
1039,1039,356,520,1039,2009-04-28
1040,1040,248,328,1040,1958-07-26
1041,1041,73,457,1041,1913-03-30
1042,1042,12,67,1042,1992-05-06
1043,1043,357,350,1043,2008-03-21
1044,1044,29,305,1044,1951-12-22
1045,1045,229,225,1045,2008-07-26
1046,1046,253,387,1046,1943-11-18
1047,1047,207,380,1047,1940-04-06
1048,1048,58,249,1048,1933-11-05
1049,1049,307,52,1049,2004-12-30
1050,1050,149,242,1050,1925-10-21
1051,1051,207,521,1051,1986-07-27
1052,1052,358,71,1052,1917-02-14
1053,1053,132,452,1053,1938-10-07
1054,1054,44,67,1054,2014-03-31
1055,1055,287,456,1055,1925-02-09
1056,1056,211,522,1056,1986-08-10
1057,1057,354,32,1057,1945-02-23
1058,1058,176,366,1058,1978-02-03
1059,1059,50,523,1059,2002-12-07
1060,1060,216,524,1060,1979-12-18
1061,1061,262,219,1061,1961-11-06
1062,1062,359,125,1062,1983-08-20
1063,1063,238,15,1063,1937-07-17
1064,1064,11,145,1064,1997-11-22
1065,1065,350,398,1065,1994-11-13
1066,1066,82,366,1066,1942-02-09
1067,1067,167,225,1067,2013-05-19
1068,1068,360,525,1068,1941-11-20
1069,1069,187,526,1069,1978-03-01
1070,1070,42,314,1070,1944-08-13
1071,1071,2,255,1071,1997-05-23
1072,1072,95,381,1072,1920-09-02
1073,1073,257,353,1073,1964-09-04
1074,1074,179,249,1074,2012-06-13
1075,1075,75,212,1075,1933-08-23
1076,1076,114,155,1076,1997-09-04
1077,1077,91,527,1077,2018-06-01
1078,1078,361,125,1078,1979-02-23
1079,1079,320,528,1079,2020-04-15
1080,1080,170,111,1080,1982-11-28
1081,1081,207,404,1081,1971-04-25
1082,1082,79,360,1082,1971-05-11
1083,1083,157,220,1083,2004-08-30
1084,1084,20,11,1084,1928-03-26
1085,1085,25,147,1085,1994-04-27
1086,1086,79,529,1086,2011-01-09
1087,1087,206,35,1087,1930-10-15
1088,1088,348,530,1088,1974-03-26
1089,1089,224,32,1089,1988-08-13
1090,1090,159,226,1090,1957-02-01
1091,1091,97,206,1091,1979-12-22
1092,1092,207,314,1092,1947-11-20
1093,1093,309,33,1093,1993-12-04
1094,1094,45,531,1094,1999-10-02
1095,1095,263,93,1095,2008-04-27
1096,1096,314,32,1096,1976-01-06
1097,1097,33,414,1097,2000-02-03
1098,1098,143,125,1098,1939-09-13
1099,1099,282,532,1099,2002-04-08
1100,1100,11,220,1100,1967-04-14
1101,1101,111,178,1101,1954-09-26
1102,1102,177,142,1102,1955-05-14
1103,1103,34,62,1103,1998-02-04
1104,1104,338,125,1104,1927-06-06
1105,1105,50,145,1105,1958-08-29
1106,1106,362,115,1106,1914-04-30
1107,1107,7,519,1107,1924-12-22
1108,1108,202,390,1108,2000-05-23
1109,1109,83,257,1109,2001-01-22
1110,1110,143,123,1110,2012-07-13
1111,1111,121,205,1111,1966-02-19
1112,1112,35,56,1112,1912-12-24
1113,1113,95,110,1113,1938-04-21
1114,1114,363,350,1114,1967-01-09
1115,1115,11,412,1115,1958-11-27
1116,1116,341,533,1116,1948-12-17
1117,1117,190,534,1117,1981-05-18
1118,1118,57,535,1118,2013-11-27
1119,1119,166,82,1119,1955-09-09
1120,1120,359,205,1120,1995-06-10
1121,1121,65,97,1121,1999-11-08
1122,1122,114,18,1122,1976-07-02
1123,1123,274,123,1123,1985-05-20
1124,1124,20,25,1124,1939-02-26
1125,1125,236,33,1125,2012-04-18
1126,1126,170,37,1126,2013-06-07
1127,1127,114,446,1127,2019-05-29
1128,1128,364,14,1128,1996-11-28
1129,1129,73,446,1129,1985-02-11
1130,1130,128,64,1130,1918-03-10
1131,1131,365,536,1131,1974-07-31
1132,1132,130,175,1132,1925-02-19
1133,1133,366,140,1133,2017-05-05
1134,1134,10,65,1134,1952-01-19
1135,1135,33,537,1135,1935-04-16
1136,1136,84,305,1136,1954-08-21
1137,1137,50,466,1137,2009-12-19
1138,1138,7,538,1138,1939-10-17
1139,1139,72,339,1139,1973-11-09
1140,1140,7,539,1140,1919-11-07
1141,1141,8,359,1141,1956-01-10
1142,1142,135,540,1142,1953-03-18
1143,1143,114,324,1143,1914-02-02
1144,1144,281,15,1144,1995-03-01
1145,1145,73,339,1145,2005-04-09
1146,1146,111,52,1146,2008-06-09
1147,1147,10,458,1147,2017-03-07
1148,1148,8,71,1148,1938-10-21
1149,1149,24,92,1149,1930-05-27
1150,1150,45,171,1150,1972-11-06
1151,1151,367,46,1151,1928-06-15
1152,1152,90,541,1152,1947-10-03
1153,1153,15,64,1153,1980-02-03
1154,1154,200,413,1154,1946-08-13
1155,1155,18,99,1155,1922-07-30
1156,1156,34,107,1156,1924-06-23
1157,1157,368,441,1157,1963-07-02
1158,1158,369,13,1158,1923-12-27
1159,1159,197,71,1159,1951-09-13
1160,1160,342,178,1160,1989-05-08
1161,1161,13,498,1161,1945-07-15
1162,1162,124,305,1162,1953-12-27
1163,1163,238,542,1163,1973-08-14
1164,1164,275,46,1164,1959-03-17
1165,1165,145,369,1165,1925-02-11
1166,1166,117,518,1166,1994-01-30
1167,1167,370,85,1167,1929-02-22
1168,1168,258,543,1168,1915-12-30
1169,1169,18,23,1169,2015-01-04
1170,1170,309,544,1170,1950-03-09
1171,1171,154,545,1171,1953-06-14
1172,1172,68,35,1172,1935-03-10
1173,1173,309,381,1173,1943-12-01
1174,1174,310,20,1174,2010-09-02
1175,1175,347,220,1175,2011-12-26
1176,1176,42,125,1176,1953-02-14
1177,1177,131,541,1177,2000-11-17
1178,1178,150,184,1178,1941-07-26
1179,1179,371,99,1179,1965-02-24
1180,1180,372,546,1180,1928-11-20
1181,1181,20,547,1181,1988-08-04
1182,1182,373,364,1182,1946-04-05
1183,1183,12,548,1183,1955-02-22
1184,1184,33,549,1184,1958-11-18
1185,1185,132,28,1185,1965-03-09
1186,1186,135,550,1186,1909-05-09
1187,1187,221,212,1187,1968-01-03
1188,1188,97,306,1188,1912-10-14
1189,1189,374,513,1189,2019-02-15
1190,1190,42,551,1190,1943-04-12
1191,1191,174,375,1191,1913-07-14
1192,1192,140,461,1192,1917-02-03
1193,1193,7,7,1193,1934-08-27
1194,1194,162,552,1194,1921-08-26
1195,1195,141,71,1195,1931-04-02
1196,1196,12,124,1196,2016-10-17
1197,1197,276,543,1197,1979-11-25
1198,1198,63,442,1198,1943-06-03
1199,1199,32,325,1199,1973-02-05
1200,1200,163,553,1200,1968-11-06
1201,1201,375,554,1201,1980-08-11
1202,1202,376,57,1202,2017-06-08
1203,1203,111,147,1203,1978-01-20
1204,1204,42,555,1204,1920-10-06
1205,1205,46,126,1205,1987-03-25
1206,1206,143,556,1206,1919-04-02
1207,1207,285,62,1207,1947-05-15
1208,1208,249,372,1208,2016-08-13
1209,1209,149,557,1209,1988-05-06
1210,1210,17,558,1210,1914-12-08
1211,1211,377,115,1211,1921-08-29
1212,1212,11,28,1212,1955-01-18
1213,1213,200,414,1213,1915-07-16
1214,1214,54,333,1214,2009-06-13
1215,1215,9,186,1215,1950-12-07
1216,1216,282,351,1216,2017-05-12
1217,1217,70,205,1217,1914-05-09
1218,1218,145,559,1218,1976-10-21
1219,1219,248,455,1219,2014-04-18
1220,1220,8,560,1220,1978-08-08
1221,1221,32,561,1221,1946-07-14
1222,1222,124,202,1222,1917-02-16
1223,1223,63,207,1223,1932-04-18
1224,1224,362,288,1224,1957-12-15
1225,1225,7,43,1225,1987-01-09
1226,1226,72,20,1226,1944-09-21
1227,1227,13,352,1227,1987-11-01
1228,1228,45,135,1228,1950-05-01
1229,1229,378,43,1229,2011-03-04
1230,1230,379,562,1230,2022-12-25
1231,1231,130,145,1231,1922-06-11
1232,1232,236,266,1232,1920-03-24
1233,1233,65,494,1233,2009-06-22
1234,1234,299,145,1234,1977-04-30
1235,1235,66,354,1235,1972-08-24
1236,1236,7,110,1236,1953-03-11
1237,1237,128,382,1237,1914-01-16
1238,1238,365,563,1238,1916-12-29
1239,1239,224,1,1239,1995-02-21
1240,1240,380,125,1240,2016-10-12
1241,1241,36,56,1241,2008-05-19
1242,1242,182,564,1242,1950-04-08
1243,1243,7,404,1243,1955-07-24
1244,1244,155,47,1244,2002-06-30
1245,1245,46,159,1245,2008-05-21
1246,1246,381,129,1246,1931-11-28
1247,1247,81,338,1247,2008-10-31
1248,1248,81,141,1248,1973-03-01
1249,1249,224,400,1249,1909-04-28
1250,1250,154,302,1250,2023-06-23
1251,1251,309,71,1251,2008-03-06
1252,1252,50,78,1252,2016-04-09
1253,1253,88,159,1253,1915-08-03
1254,1254,148,513,1254,1926-06-10
1255,1255,132,324,1255,1989-09-22
1256,1256,7,256,1256,1939-12-17
1257,1257,275,402,1257,1944-08-16
1258,1258,79,182,1258,1951-07-05
1259,1259,108,206,1259,2003-06-09
1260,1260,50,322,1260,1930-12-07
1261,1261,382,319,1261,2010-12-08
1262,1262,383,64,1262,1952-11-02
1263,1263,270,361,1263,1984-11-30
1264,1264,32,188,1264,1985-11-09
1265,1265,132,32,1265,2021-03-06
1266,1266,24,565,1266,2016-12-16
1267,1267,42,62,1267,1960-03-06
1268,1268,346,83,1268,1958-08-10
1269,1269,284,566,1269,1991-10-19
1270,1270,98,508,1270,1989-11-08
1271,1271,276,567,1271,1950-06-01
1272,1272,275,52,1272,1929-10-22
1273,1273,270,295,1273,1960-09-24
1274,1274,384,568,1274,1962-04-13
1275,1275,7,140,1275,1912-02-03
1276,1276,69,16,1276,1953-07-30
1277,1277,104,266,1277,1956-08-27
1278,1278,184,205,1278,1993-10-05
1279,1279,200,176,1279,1929-03-31
1280,1280,385,569,1280,1939-04-17
1281,1281,122,570,1281,1998-09-11
1282,1282,154,226,1282,1949-01-22
1283,1283,46,425,1283,1990-09-16
1284,1284,109,135,1284,2018-09-19
1285,1285,386,571,1285,1983-01-13
1286,1286,138,53,1286,1981-07-25
1287,1287,50,282,1287,1909-05-26
1288,1288,18,188,1288,2008-01-05
1289,1289,146,249,1289,1917-04-23
1290,1290,275,411,1290,2015-05-20
1291,1291,335,572,1291,1928-09-27
1292,1292,71,226,1292,1956-07-28
1293,1293,387,449,1293,1994-08-06
1294,1294,143,460,1294,1955-03-04
1295,1295,188,269,1295,1911-08-18
1296,1296,149,71,1296,1938-09-15
1297,1297,339,403,1297,2007-06-03
1298,1298,328,420,1298,2017-03-13
1299,1299,11,238,1299,1943-06-05
1300,1300,388,573,1300,1976-11-11
1301,1301,25,177,1301,2006-10-25
1302,1302,98,574,1302,1949-09-20
1303,1303,193,37,1303,1991-01-30
1304,1304,389,263,1304,2019-06-23
1305,1305,7,64,1305,1911-02-05
1306,1306,202,575,1306,1974-05-13
1307,1307,101,83,1307,2023-02-19
1308,1308,287,238,1308,2014-04-20
1309,1309,25,64,1309,1982-07-03
1310,1310,54,576,1310,1919-05-20
1311,1311,79,10,1311,2016-05-23
1312,1312,390,62,1312,2020-07-25
1313,1313,160,577,1313,1936-12-27
1314,1314,200,47,1314,1925-08-08
1315,1315,213,578,1315,1988-02-24
1316,1316,391,71,1316,1956-07-13
1317,1317,365,566,1317,1949-01-10
1318,1318,392,579,1318,1972-06-14
1319,1319,82,125,1319,1944-10-12
1320,1320,18,94,1320,1910-12-12
1321,1321,13,34,1321,1942-04-27
1322,1322,34,83,1322,2006-01-17
1323,1323,160,532,1323,1927-08-03
1324,1324,25,28,1324,1975-08-01
1325,1325,24,580,1325,1977-06-20
1326,1326,121,220,1326,1929-10-13
1327,1327,331,262,1327,1963-09-24
1328,1328,97,71,1328,2012-11-09
1329,1329,393,581,1329,2011-03-06
1330,1330,83,582,1330,1993-11-26
1331,1331,63,319,1331,1932-12-06
1332,1332,2,583,1332,1941-06-07
1333,1333,54,584,1333,1931-01-31
1334,1334,33,184,1334,1962-06-02
1335,1335,394,32,1335,1958-05-10
1336,1336,257,192,1336,2007-10-08
1337,1337,395,582,1337,1960-09-15
1338,1338,396,43,1338,1914-05-11
1339,1339,397,585,1339,1921-01-09
1340,1340,398,71,1340,1998-07-12
1341,1341,42,168,1341,1947-03-23
1342,1342,226,46,1342,1913-11-13
1343,1343,399,71,1343,1957-10-13
1344,1344,11,586,1344,1955-07-06
1345,1345,45,562,1345,1969-10-25
1346,1346,129,125,1346,1909-02-15
1347,1347,45,375,1347,1993-09-07
1348,1348,331,6,1348,1933-05-08
1349,1349,214,282,1349,1949-06-25
1350,1350,400,46,1350,1918-11-19
1351,1351,194,587,1351,2005-12-07
1352,1352,8,90,1352,1926-08-18
1353,1353,7,360,1353,1979-03-16
1354,1354,328,588,1354,1973-09-16
1355,1355,370,244,1355,2016-12-13
1356,1356,25,92,1356,1916-11-11
1357,1357,173,381,1357,1915-09-13
1358,1358,167,263,1358,1940-06-13
1359,1359,258,48,1359,1989-06-24
1360,1360,90,275,1360,2004-02-09
1361,1361,46,163,1361,1971-03-12
1362,1362,11,589,1362,2018-06-26
1363,1363,261,590,1363,2007-05-28
1364,1364,42,238,1364,1930-11-03
1365,1365,72,591,1365,1910-02-14
1366,1366,63,304,1366,1979-06-11
1367,1367,24,592,1367,2018-12-30
1368,1368,380,517,1368,1958-02-27
1369,1369,81,489,1369,1916-10-02
1370,1370,9,310,1370,1998-04-15
1371,1371,7,85,1371,1915-01-25
1372,1372,370,538,1372,1975-05-29
1373,1373,207,593,1373,1982-12-23
1374,1374,164,594,1374,1936-07-31
1375,1375,249,595,1375,1976-07-30
1376,1376,20,499,1376,1985-12-02
1377,1377,388,1,1377,1932-01-23
1378,1378,284,139,1378,1937-09-19
1379,1379,24,524,1379,1933-10-14
1380,1380,185,381,1380,1909-04-11
1381,1381,24,162,1381,1921-01-03
1382,1382,57,137,1382,2017-07-22
1383,1383,401,83,1383,1929-01-02
1384,1384,402,33,1384,1958-01-18
1385,1385,403,64,1385,2007-09-05
1386,1386,218,253,1386,2002-12-13
1387,1387,203,77,1387,1971-05-26
1388,1388,48,212,1388,2024-08-07
1389,1389,379,189,1389,2021-05-12
1390,1390,404,503,1390,1926-01-16
1391,1391,257,441,1391,1917-03-29
1392,1392,36,144,1392,1919-07-22
1393,1393,183,52,1393,1955-04-13
1394,1394,24,123,1394,1982-12-05
1395,1395,135,361,1395,1921-02-12
1396,1396,35,123,1396,1981-09-29
1397,1397,93,92,1397,1918-06-27
1398,1398,405,373,1398,1918-09-09
1399,1399,69,596,1399,1990-04-13
1400,1400,75,425,1400,1914-09-05
1401,1401,179,52,1401,1916-07-05
1402,1402,406,597,1402,1981-01-20
1403,1403,180,376,1403,1969-06-16
1404,1404,124,598,1404,2005-08-03
1405,1405,129,123,1405,1967-06-16
1406,1406,255,506,1406,2006-03-07
1407,1407,94,168,1407,1965-12-14
1408,1408,138,599,1408,1974-01-26
1409,1409,79,600,1409,1960-12-17
1410,1410,407,408,1410,1931-01-24
1411,1411,275,287,1411,2009-09-19
1412,1412,90,152,1412,1983-11-21
1413,1413,7,249,1413,1982-01-15
1414,1414,29,434,1414,1947-10-23
1415,1415,275,601,1415,2020-06-02
1416,1416,408,226,1416,1920-09-23
1417,1417,57,125,1417,1958-10-31
1418,1418,148,115,1418,2023-08-27
1419,1419,24,310,1419,1961-08-01
1420,1420,309,329,1420,1981-08-10
1421,1421,61,299,1421,1936-12-27
1422,1422,269,602,1422,1949-08-26
1423,1423,15,33,1423,1931-01-19
1424,1424,38,99,1424,1951-05-07
1425,1425,81,108,1425,1979-09-28
1426,1426,409,533,1426,1961-06-19
1427,1427,34,67,1427,1961-04-02
1428,1428,40,404,1428,1920-06-11
1429,1429,8,18,1429,2016-01-15
1430,1430,11,433,1430,2005-06-18
1431,1431,410,523,1431,2020-01-29
1432,1432,411,603,1432,1999-06-29
1433,1433,412,372,1433,1979-01-02
1434,1434,65,235,1434,1982-10-23
1435,1435,18,580,1435,2017-10-14
1436,1436,24,460,1436,1979-09-30
1437,1437,351,509,1437,1953-12-18
1438,1438,13,212,1438,1918-01-29
1439,1439,57,115,1439,1970-09-26
1440,1440,28,604,1440,2018-01-16
1441,1441,71,605,1441,1910-02-01
1442,1442,131,282,1442,2020-09-14
1443,1443,215,606,1443,1996-07-11
1444,1444,10,607,1444,1994-12-04
1445,1445,84,218,1445,1968-05-21
1446,1446,50,562,1446,1978-10-27
1447,1447,132,608,1447,2000-08-05
1448,1448,249,434,1448,1947-02-06
1449,1449,224,609,1449,2021-01-15
1450,1450,81,444,1450,1908-09-18
1451,1451,83,503,1451,1994-03-22
1452,1452,197,580,1452,1934-05-09
1453,1453,413,431,1453,2021-10-25
1454,1454,195,32,1454,1991-07-01
1455,1455,331,146,1455,2024-04-25
1456,1456,54,196,1456,1997-09-25
1457,1457,71,71,1457,1931-03-16
1458,1458,364,40,1458,2020-09-17
1459,1459,414,122,1459,1921-04-09
1460,1460,180,168,1460,1964-03-24
1461,1461,242,558,1461,1993-08-01
1462,1462,384,242,1462,1949-11-30
1463,1463,12,99,1463,2002-09-25
1464,1464,71,610,1464,1927-07-30
1465,1465,148,189,1465,1915-11-05
1466,1466,35,611,1466,1987-10-30
1467,1467,1,15,1467,1945-05-26
1468,1468,415,27,1468,1979-10-18
1469,1469,42,612,1469,1969-04-25
1470,1470,42,126,1470,1986-06-19
1471,1471,190,560,1471,1995-11-03
1472,1472,13,361,1472,1985-02-22
1473,1473,416,553,1473,1913-06-26
1474,1474,135,18,1474,1979-02-15
1475,1475,46,73,1475,1982-12-04
1476,1476,11,613,1476,1960-03-15
1477,1477,167,62,1477,1920-08-28
1478,1478,128,140,1478,1969-07-18
1479,1479,69,66,1479,1978-10-04
1480,1480,52,163,1480,1978-06-28
1481,1481,81,260,1481,1978-10-03
1482,1482,417,614,1482,2004-01-26
1483,1483,7,589,1483,2022-10-09
1484,1484,182,190,1484,1982-10-16
1485,1485,13,367,1485,2018-09-03
1486,1486,84,131,1486,1950-09-18
1487,1487,135,115,1487,2021-02-05
1488,1488,3,411,1488,2007-05-22
1489,1489,33,387,1489,2001-11-21
1490,1490,79,194,1490,1999-05-03
1491,1491,54,588,1491,1969-07-07
1492,1492,239,103,1492,1910-03-30
1493,1493,406,586,1493,1943-01-28
1494,1494,33,220,1494,1972-02-21
1495,1495,136,295,1495,1969-11-16
1496,1496,286,125,1496,2003-06-25
1497,1497,75,469,1497,2006-11-16
1498,1498,306,479,1498,1997-05-26
1499,1499,182,300,1499,2006-03-11
1500,1500,202,110,1500,1914-08-13
1501,1501,172,615,1501,1950-07-25
1502,1502,126,616,1502,2015-11-07
1503,1503,196,617,1503,1918-08-05
1504,1504,132,255,1504,1936-03-04
1505,1505,225,618,1505,1945-09-21
1506,1506,18,125,1506,1916-07-21
1507,1507,344,213,1507,1954-10-05
1508,1508,72,28,1508,1998-06-16
1509,1509,52,266,1509,1946-07-24
1510,1510,362,575,1510,2015-11-05
1511,1511,138,413,1511,1989-09-03
1512,1512,132,619,1512,1994-08-08
1513,1513,173,125,1513,1927-03-16
1514,1514,418,299,1514,1993-09-24
1515,1515,49,86,1515,1986-04-08
1516,1516,24,162,1516,1961-01-26
1517,1517,327,620,1517,2003-05-27
1518,1518,79,519,1518,2003-07-19
1519,1519,419,150,1519,1974-06-09
1520,1520,45,187,1520,1909-01-05
1521,1521,194,400,1521,1930-09-09
1522,1522,187,395,1522,1945-08-13
1523,1523,200,206,1523,1941-07-26
1524,1524,33,621,1524,1961-05-18
1525,1525,33,182,1525,1966-11-17
1526,1526,207,184,1526,2009-09-11
1527,1527,420,83,1527,1922-11-12
1528,1528,185,622,1528,1997-12-19
1529,1529,140,144,1529,2019-01-08
1530,1530,421,64,1530,1961-08-14
1531,1531,422,580,1531,1939-03-23
1532,1532,414,33,1532,1957-08-17
1533,1533,185,555,1533,2017-11-28
1534,1534,104,94,1534,1962-09-27
1535,1535,26,278,1535,1916-02-20
1536,1536,129,623,1536,1969-12-15
1537,1537,272,43,1537,1949-07-09
1538,1538,82,434,1538,1945-10-09
1539,1539,368,146,1539,1993-06-29
1540,1540,419,5,1540,1983-02-20
1541,1541,196,29,1541,2018-06-19
1542,1542,71,206,1542,1997-06-02
1543,1543,179,162,1543,1923-04-18
1544,1544,65,33,1544,2016-05-16
1545,1545,111,15,1545,1921-01-16
